Gender,Height,Weight,Age,Bmi,Bmi_class,Goals,Injury,Current_fitness_level,Intensity_level,Bmi_class_Normal weight,Bmi_class_Obese,Bmi_class_Overweight,Bmi_class_Underweight,Goals_Maintain,Goals_Weight gain,Goals_Weight loss,Current_fitness_level_Advance,Current_fitness_level_Beginner,Current_fitness_level_Intermediate
0,1.875717984,109.7022962,47,31.18032468568575,Obese,Weight loss,0,Beginner,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.747063857,73.61019162,36,24.1168393213462,Normal weight,Maintain,0,Intermediate,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.882400442,96.48111363,45,27.22815883366224,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.821970495,99.79250354,46,30.06181782568726,Obese,Weight loss,0,Beginner,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.775001165,93.58267602,22,29.70285361678487,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.708230015,69.03045613,25,23.65636683274793,Normal weight,Maintain,1,Beginner,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.747144558,83.41400844,43,27.32633020795529,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.736055766,76.17737437,36,25.27543603362643,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.702284726,79.78659428,33,27.53376000812,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.611798171,70.92955845,33,27.30272149653604,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.808366327,84.62808415,45,25.87865411879712,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.819680089,96.93477074,31,29.27450102614003,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.64506805,75.79476693,27,28.00731567388981,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.7597935,85.91663555,35,27.74302693000704,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.758794316,84.55064309,49,27.33296897178772,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.718202177,78.08931068,34,26.4510586980803,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.839428921,88.90181693,21,26.27511441752992,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.624951123,78.40520191,40,29.69369701879585,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.768861059,84.34646602,48,26.95748974971573,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.725577974,82.7331737,39,27.78500678969449,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.725045725,78.96414017,37,26.53558633651954,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
